Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,tornado_count
1950,-0.26,-0.27,-0.08,-0.21,-0.11,-0.05,-0.08,-0.16,-0.11,-0.2,-0.34,-0.22,-.17,-.17,-.24,-.13,-.10,-.22,201
1951,-0.34,-0.41,-0.2,-0.14,0.0,-0.06,-0.01,0.06,0.05,0.08,-0.01,0.16,-.07,-.10,-.33,-.12,-.01,.04,260
1952,0.11,0.11,-0.08,0.03,-0.03,-0.03,0.04,0.05,0.07,0.0,-0.13,-0.02,.01,.03,.13,-.03,.02,-.02,240
1953,0.07,0.15,0.11,0.2,0.12,0.12,0.01,0.05,0.04,0.08,-0.03,0.05,.08,.08,.07,.14,.06,.03,421
1954,-0.24,-0.1,-0.15,-0.14,-0.2,-0.19,-0.18,-0.17,-0.1,-0.02,0.08,-0.18,-.13,-.11,-.10,-.16,-.18,-.01,550
1955,0.13,-0.16,-0.32,-0.22,-0.2,-0.13,-0.11,0.02,-0.11,-0.05,-0.25,-0.28,-.14,-.13,-.07,-.25,-.07,-.14,591
1956,-0.13,-0.24,-0.21,-0.28,-0.29,-0.15,-0.09,-0.26,-0.19,-0.23,-0.15,-0.06,-.19,-.21,-.22,-.26,-.17,-.19,504
1957,-0.09,-0.03,-0.05,0.0,0.09,0.15,0.02,0.15,0.09,0.01,0.08,0.15,.05,.03,-.06,.01,.11,.06,858
1958,0.39,0.22,0.08,0.01,0.06,-0.09,0.05,-0.05,-0.03,0.04,0.02,0.01,.06,.07,.25,.05,-.03,.01,564
1959,0.08,0.07,0.18,0.16,0.04,0.03,0.03,-0.01,-0.06,-0.07,-0.08,0.0,.03,.03,.05,.13,.02,-.07,604
1960,0.0,0.13,-0.35,-0.15,-0.08,-0.04,-0.04,0.02,0.07,0.06,-0.11,0.19,-.03,-.04,.04,-.19,-.02,.00,616
1961,0.07,0.19,0.09,0.13,0.12,0.12,0.01,0.01,0.08,0.0,0.03,-0.16,.06,.09,.15,.12,.04,.04,697
1962,0.05,0.15,0.1,0.05,-0.06,0.03,0.02,-0.01,0.0,0.01,0.06,-0.03,.03,.02,.01,.03,.01,.02,657
1963,-0.03,0.18,-0.14,-0.07,-0.06,0.05,0.06,0.22,0.17,0.14,0.15,-0.03,.05,.05,.04,-.09,.11,.16,463
1964,-0.09,-0.1,-0.21,-0.32,-0.25,-0.04,-0.04,-0.22,-0.3,-0.31,-0.21,-0.3,-.20,-.18,-.07,-.26,-.10,-.27,704
1965,-0.08,-0.17,-0.13,-0.19,-0.12,-0.08,-0.14,-0.04,-0.15,-0.05,-0.06,-0.08,-.11,-.13,-.18,-.15,-.09,-.09,897
1966,-0.19,-0.04,0.03,-0.13,-0.12,0.01,0.08,-0.09,-0.03,-0.17,-0.01,-0.03,-.06,-.06,-.11,-.07,.00,-.07,585
1967,-0.08,-0.21,0.05,-0.05,0.12,-0.08,0.02,0.01,-0.06,0.09,-0.05,-0.05,-.02,-.02,-.10,.04,-.02,-.01,927
1968,-0.26,-0.14,0.2,-0.06,-0.14,-0.09,-0.13,-0.09,-0.19,0.09,-0.05,-0.15,-.08,-.08,-.15,.00,-.10,-.05,657
1969,-0.11,-0.18,0.0,0.17,0.18,0.03,-0.05,0.04,0.08,0.09,0.12,0.24,.05,.02,-.14,.12,.01,.10,608
1970,0.08,0.22,0.06,0.05,-0.03,-0.02,0.02,-0.1,0.12,0.03,0.02,-0.12,.03,.06,.18,.03,-.04,.06,653
1971,-0.02,-0.15,-0.18,-0.07,-0.05,-0.16,-0.07,-0.01,-0.05,-0.04,-0.07,-0.08,-.08,-.08,-.10,-.10,-.08,-.06,889
1972,-0.22,-0.18,0.02,0.0,-0.03,0.04,0.01,0.16,0.02,0.08,0.02,0.18,.01,-.01,-.16,.00,.07,.04,741
1973,0.29,0.32,0.29,0.27,0.23,0.19,0.13,0.05,0.09,0.1,0.04,-0.07,.16,.18,.26,.26,.12,.08,1102
1974,-0.1,-0.27,-0.05,-0.11,-0.04,-0.05,-0.03,0.1,-0.08,-0.06,-0.08,-0.08,-.07,-.07,-.14,-.07,.01,-.07,945
1975,0.1,0.08,0.13,0.04,0.16,-0.01,-0.01,-0.17,-0.02,-0.11,-0.17,-0.17,-.01,.00,.03,.11,-.06,-.10,919
1976,-0.03,-0.06,-0.21,-0.07,-0.2,-0.12,-0.1,-0.12,-0.06,-0.24,-0.06,0.11,-.10,-.12,-.09,-.16,-.11,-.12,834
1977,0.18,0.23,0.24,0.26,0.33,0.27,0.2,0.18,0.02,0.03,0.16,0.03,.18,.19,.17,.28,.22,.07,852
1978,0.06,0.1,0.19,0.17,0.09,-0.01,0.04,-0.14,0.06,0.03,0.13,0.07,.07,.06,.06,.15,-.04,.07,789
1979,0.08,-0.1,0.19,0.15,0.03,0.14,0.04,0.17,0.25,0.26,0.28,0.48,.16,.13,.02,.13,.11,.26,855
1980,0.29,0.39,0.29,0.3,0.35,0.2,0.22,0.18,0.2,0.13,0.29,0.21,.26,.28,.39,.31,.20,.21,866
1981,0.53,0.42,0.48,0.32,0.24,0.29,0.32,0.35,0.15,0.12,0.23,0.41,.32,.31,.39,.35,.32,.16,782
1982,0.05,0.15,0.03,0.15,0.18,0.05,0.14,0.03,0.14,0.13,0.18,0.43,.14,.14,.20,.12,.08,.15,1047
1983,0.53,0.43,0.42,0.27,0.34,0.23,0.18,0.36,0.37,0.17,0.3,0.16,.31,.34,.46,.34,.26,.28,930
